Tape Size,Feeder Number,Component,Aliases,XOffset,YOffset,Height,Length,Width,Speed,Head,Relative Tape Angle,Feed Spacing,Place Component,Check Vacuum,Use Vision,Centroid Correction X,Centroid Correction Y,Manufacturer,Manufacturer Part Number,Distrubutor,Order Number
8mm,1,,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,2,,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,3,,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,4,,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,5,,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,6,,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,7,,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,8,,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,9,,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,10,,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,11,,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,12,,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,13,,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,14,,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,15,,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,16,,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,17,10K-R0805,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,18,,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,19,,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,20,,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,21,,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,22,,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
12mm,23,MAX4070-MAX4070AUA,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
12mm,24,10K-RTRIM3374,,0,0,0.5,1.6,0.8,50,1,0,8,Y,Y,Y,0,0,,,,
12mm,25,500-RTRIM3374,,0,0,0.5,1.6,0.8,50,1,0,8,Y,Y,Y,0,0,,,,
12mm,26,79L09-79L09,,0,0,0.5,1.6,0.8,50,1,0,8,Y,Y,Y,0,0,,,,
16mm,27,ATMEGA328-TQFP32-08,,0,0,0.5,1.6,0.8,50,1,0,12,Y,Y,Y,0,0,,,,
16mm,28,DSS6-015AS-DSS6-015AS,,0,0,0.5,1.6,0.8,50,1,0,12,Y,Y,Y,0,0,,,,
24mm,29,,,0,0,0.5,1.6,0.8,50,1,0,20,Y,Y,Y,0,0,,,,
8mm,36,16Mhz-RESONATOR-SMD-1:1,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,37,Green-0603-LED-ALT1,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,38,1K-R0805,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,39,0.1uF-C0805,.1uF-C0805,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,40,BAT54S-SOT23,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,41,10uF-SMC_A,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,42,1N4148-SOD123,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,43,NPN 3904-SOT23-3,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,44,0-R0805,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,45,14.0K 1%-R0805,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,46,75.0K 1%-R0805,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,47,20-R0805,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,48,261 1%-R0805,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,49,2.22K-R0805,2.2K 1%-R0805,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,50,2K-R0805,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,51,330-R0805,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,52,4.7K-R0805,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,53,680-R0805,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,54,,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,55,,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,56,,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
8mm,57,,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
12mm,58,78L05-78L09,,0,0,0.5,1.6,0.8,50,1,0,4,Y,Y,Y,0,0,,,,
12mm,59,78L09-78L09,,0,0,0.5,1.6,0.8,50,1,0,8,Y,Y,Y,0,0,,,,
12mm,60,LM555CMX-SO08,,0,0,0.5,1.6,0.8,50,1,0,8,Y,Y,Y,0,0,,,,
12mm,61,,,0,0,0.5,1.6,0.8,50,1,0,8,Y,Y,Y,0,0,,,,
16mm,62,LM324D-SO14,,0,0,0.5,1.6,0.8,50,1,0,12,Y,Y,Y,0,0,,,,
16mm,63,LM339N-SO14,,0,0,0.5,1.6,0.8,50,1,0,12,Y,Y,Y,0,0,,,,
24mm,64,,,0,0,0.5,1.6,0.8,50,1,0,20,Y,Y,Y,0,0,,,,
A 1-7,88,,,0,0,0.5,6,6,0,2,0,0,Y,Y,Y,0,0,,,,
B 1-6,89,,,0,0,0.5,9,9,0,2,0,0,Y,Y,Y,0,0,,,,
A 1-2,90,,,,,,,,,,,,,,,,,,,,
A 3-4,91,,,,,,,,,,,,,,,,,,,,
A 5-7,92,,,,,,,,,,,,,,,,,,,,
B 1-2,93,,,,,,,,,,,,,,,,,,,,
B 3-4,94,,,0,0,0.5,,,,,,,,,,,,,,,
B 5-6,95,,,0,0,0.5,,,,,,,,,,,,,,,
-,96,,,0,0,0.5,0,0,0,2,0,0,Y,Y,Y,0,0,,,,
-,97,,,,,,,,0,,,,,,,,,,,,
-,98,,,,,,,,0,,,,,,,,,,,,
-,99,,,0,0,0.5,5,5,0,2,0,,Y,Y,Y,0,0,,,,
Fiducial,1000,FIDUCIAL,FIDUCIALUFIDUCIAL-MICRO-FIDUCIAL,,,,,,,,,,,,,,,,,,
NoMount,0,No Mount,DNP-C0402S:DNP-R0402S,,,,,,,,,,N,,,,,,,,
Stop,,Stop,,,,,,,,,,,,,,,,,,,
